monthly_rent (€),number_of_bedrooms,number_of_bathrooms,Density per sq km,Average Income (€)
1200.0,2.0,1.0,34.4,39156.0
1200.0,3.0,3.0,42.3,43183.0
1200.0,2.0,2.0,146.2,55861.0
1200.0,2.0,2.0,27.6,44833.0
1200.0,1.0,1.0,169.1,45905.0
1200.0,3.0,1.0,39.0,44678.0
1200.0,1.0,1.0,1581.5,60804.0
1200.0,2.0,2.0,27.6,44833.0
1200.0,1.0,1.0,77.5,52284.0
1200.0,3.0,1.0,94.3,53018.0
1200.0,2.0,2.0,21.9,42924.0
1200.0,1.0,1.0,77.5,52284.0
1200.0,1.0,1.0,146.2,55861.0
1200.0,3.0,1.0,37.1,48576.0
1200.0,2.0,2.0,42.3,43183.0
1200.0,1.0,1.0,39.0,44678.0
1200.0,1.0,1.0,76.9,55361.0
1200.0,1.0,1.0,77.5,52284.0
1200.0,1.0,1.0,146.2,55861.0
1200.0,2.0,2.0,69.3,42906.0
1200.0,1.0,1.0,69.1,44000.0
1200.0,2.0,1.0,76.0,49272.0
1200.0,2.0,1.0,50.4,40024.0
1200.0,3.0,1.0,37.1,48576.0
1200.0,3.0,1.0,34.4,39156.0
1216.6,1.0,1.0,146.2,55861.0
1250.0,3.0,2.0,27.6,44833.0
1250.0,3.0,3.0,39.0,44678.0
1250.0,3.0,2.0,27.6,44833.0
1250.0,3.0,1.0,42.9,41418.0
1250.0,1.0,1.0,42.3,43183.0
1250.0,3.0,1.0,42.9,41418.0
1250.0,3.0,2.0,41.6,44108.0
1250.0,2.0,1.0,41.6,44108.0
1250.0,1.0,1.0,45.1,48765.0
1250.0,2.0,2.0,41.6,44108.0
1250.0,1.0,1.0,146.2,55861.0
1250.0,2.0,1.0,41.6,44108.0
1250.0,2.0,1.0,27.6,44833.0
1250.0,2.0,2.0,42.3,43183.0
1272.0,1.0,1.0,1581.5,60804.0
1275.0,3.0,3.0,32.5,42674.0
1275.0,3.0,1.0,42.9,41418.0
1275.0,2.0,1.0,42.9,41418.0
1275.0,3.0,1.0,50.4,40024.0
1276.0,2.0,1.0,94.3,53018.0
1285.0,2.0,1.0,169.1,45905.0
1290.0,3.0,1.0,39.0,44678.0
1300.0,2.0,1.0,39.0,44678.0
1300.0,2.0,1.0,21.9,42924.0
1300.0,1.0,1.0,24.7,43480.0
1300.0,3.0,1.0,37.1,48576.0
1300.0,2.0,2.0,21.9,42924.0
1300.0,2.0,2.0,69.3,42906.0
1300.0,2.0,1.0,32.5,42674.0
1300.0,3.0,1.0,32.5,42674.0
1300.0,2.0,1.0,27.6,44833.0
1300.0,2.0,1.0,45.1,48765.0
1300.0,2.0,2.0,32.5,42674.0
1300.0,3.0,2.0,32.5,42674.0
1300.0,1.0,1.0,77.5,52284.0
1300.0,2.0,1.0,45.1,48765.0
1300.0,2.0,2.0,69.3,42906.0
1300.0,5.0,2.0,34.4,39156.0
1300.0,2.0,2.0,32.5,42674.0
1300.0,4.0,3.0,42.3,43183.0
1300.0,1.0,1.0,52.3,46782.0
1300.0,1.0,2.0,32.5,42674.0
1300.0,2.0,1.0,50.2,46510.0
1300.0,1.0,1.0,1581.5,60804.0
1300.0,2.0,2.0,34.4,39156.0
1300.0,1.0,1.0,1581.5,60804.0
1304.0,1.0,1.0,146.2,55861.0
1330.0,1.0,1.0,77.5,52284.0
1346.0,1.0,1.0,1581.5,60804.0
1347.0,2.0,1.0,146.2,55861.0
1350.0,3.0,1.0,39.0,44678.0
1350.0,2.0,2.0,39.0,44678.0
1350.0,3.0,3.0,77.5,52284.0
1350.0,2.0,2.0,27.6,44833.0
1350.0,2.0,1.0,77.5,52284.0
1350.0,3.0,3.0,69.3,42906.0
1350.0,1.0,2.0,77.5,52284.0
1350.0,2.0,2.0,69.3,42906.0
1350.0,3.0,3.0,37.1,48576.0
1350.0,3.0,1.0,42.9,41418.0
1350.0,2.0,2.0,24.7,43480.0
1350.0,2.0,1.0,94.3,53018.0
1350.0,2.0,1.0,32.5,42674.0
1350.0,3.0,1.0,42.9,41418.0
1350.0,2.0,2.0,21.9,42924.0
1350.0,3.0,1.0,77.5,52284.0
1350.0,3.0,3.0,37.1,48576.0
1350.0,3.0,1.0,42.9,41418.0
1359.0,2.0,1.0,146.2,55861.0
1375.0,1.0,1.0,146.2,55861.0
1388.0,1.0,1.0,1581.5,60804.0
1390.0,1.0,2.0,76.9,55361.0
1395.0,1.0,1.0,45.1,48765.0
1395.0,1.0,1.0,169.1,45905.0
1395.0,1.0,1.0,1581.5,60804.0
1400.0,1.0,1.0,1581.5,60804.0
1400.0,3.0,1.0,24.7,43480.0
1400.0,3.0,3.0,53.4,46563.0
1400.0,1.0,1.0,52.3,46782.0
1400.0,3.0,2.0,42.9,41418.0
1400.0,2.0,1.0,50.4,40024.0
1400.0,3.0,3.0,34.4,39156.0
1400.0,2.0,1.0,32.5,42674.0
1400.0,1.0,1.0,1581.5,60804.0
1400.0,3.0,3.0,69.3,42906.0
1400.0,3.0,3.0,50.4,40024.0
1400.0,1.0,1.0,1581.5,60804.0
1400.0,4.0,3.0,24.7,43480.0
1400.0,2.0,2.0,24.7,43480.0
1400.0,2.0,1.0,69.1,44000.0
1400.0,3.0,1.0,38.2,45599.0
1400.0,3.0,2.0,77.5,52284.0
1400.0,3.0,1.0,69.3,42906.0
1400.0,4.0,3.0,69.3,42906.0
1400.0,3.0,3.0,53.4,46563.0
1400.0,2.0,1.0,39.0,44678.0
1400.0,1.0,1.0,146.2,55861.0
1400.0,3.0,1.0,69.3,42906.0
1400.0,3.0,2.0,77.5,52284.0
1400.0,3.0,1.0,169.1,45905.0
1400.0,3.0,2.0,77.5,52284.0
1400.0,1.0,1.0,1581.5,60804.0
1400.0,3.0,3.0,69.3,42906.0
1400.0,3.0,1.0,38.2,45599.0
1400.0,2.0,1.0,69.3,42906.0
1400.0,2.0,1.0,37.1,48576.0
1400.0,3.0,2.0,34.4,39156.0
1400.0,1.0,1.0,68.6,46308.0
1400.0,2.0,1.0,77.5,52284.0
1400.0,3.0,1.0,45.1,48765.0
1400.0,2.0,1.0,69.3,42906.0
1400.0,1.0,1.0,1581.5,60804.0
1400.0,2.0,2.0,52.3,46782.0
1404.0,2.0,1.0,146.2,55861.0
1408.0,1.0,1.0,1581.5,60804.0
1420.0,2.0,1.0,68.6,46308.0
1427.0,1.0,1.0,1581.5,60804.0
1433.85,3.0,1.0,45.1,48765.0
1441.0,4.0,4.0,37.1,48576.0
1441.0,1.0,1.0,1581.5,60804.0
1446.0,1.0,1.0,1581.5,60804.0
1450.0,2.0,1.0,77.5,52284.0
1450.0,2.0,1.0,52.3,46782.0
1450.0,3.0,3.0,24.7,43480.0
1450.0,5.0,3.0,24.7,43480.0
1450.0,2.0,1.0,146.2,55861.0
1450.0,3.0,3.0,50.4,40024.0
1450.0,2.0,2.0,169.1,45905.0
1450.0,3.0,1.0,21.9,42924.0
1450.0,4.0,3.0,77.5,52284.0
1450.0,4.0,3.0,50.4,40024.0
1450.0,1.0,1.0,1581.5,60804.0
1456.0,2.0,1.0,1581.5,60804.0
1456.0,4.0,3.0,37.1,48576.0
1459.0,3.0,1.0,1581.5,60804.0
1472.0,1.0,1.0,1581.5,60804.0
1475.0,2.0,2.0,169.1,45905.0
1486.0,1.0,1.0,1581.5,60804.0
1485.99,1.0,1.0,1581.5,60804.0
1500.0,1.0,1.0,146.2,55861.0
1500.0,3.0,3.0,27.6,44833.0
1500.0,2.0,1.0,77.5,52284.0
1500.0,4.0,1.0,32.5,42674.0
1500.0,1.0,1.0,146.2,55861.0
1500.0,4.0,1.0,34.4,39156.0
1500.0,3.0,1.0,37.1,48576.0
1500.0,4.0,2.0,68.6,46308.0
1500.0,3.0,1.0,50.4,40024.0
1500.0,3.0,2.0,50.4,40024.0
1500.0,3.0,2.0,69.3,42906.0
1500.0,4.0,2.0,34.4,39156.0
1500.0,1.0,1.0,94.3,53018.0
1500.0,2.0,1.0,77.5,52284.0
1500.0,2.0,1.0,169.1,45905.0
1500.0,4.0,2.0,69.3,42906.0
1500.0,4.0,1.0,45.1,48765.0
1500.0,2.0,1.0,41.6,44108.0
1500.0,1.0,1.0,1581.5,60804.0
1500.0,4.0,1.0,32.5,42674.0
1500.0,6.0,5.0,34.4,39156.0
1500.0,3.0,1.0,77.5,52284.0
1500.0,2.0,1.0,50.2,46510.0
1500.0,3.0,4.0,94.3,53018.0
1500.0,4.0,3.0,34.4,39156.0
1500.0,2.0,1.0,76.0,49272.0
1500.0,1.0,1.0,77.5,52284.0
1500.0,3.0,1.0,69.1,44000.0
1500.0,2.0,1.0,52.3,46782.0
1500.0,4.0,3.0,77.5,52284.0
1500.0,2.0,2.0,32.5,42674.0
1500.0,3.0,3.0,53.4,46563.0
