monthly_rent (€),number_of_bedrooms,number_of_bathrooms,Density per sq km,Average Income (€)
1900.0,1.0,1.0,1581.5,60804.0
1900.0,2.0,1.0,1581.5,60804.0
1900.0,1.0,2.0,77.5,52284.0
1900.0,1.0,1.0,1581.5,60804.0
1900.0,1.0,1.0,1581.5,60804.0
1900.0,1.0,1.0,77.5,52284.0
1900.0,4.0,1.0,169.1,45905.0
1900.0,3.0,1.0,1581.5,60804.0
1900.0,2.0,1.0,76.0,49272.0
1900.0,2.0,2.0,42.9,41418.0
1900.0,3.0,2.0,1581.5,60804.0
1900.0,1.0,1.0,146.2,55861.0
1900.0,1.0,1.0,1581.5,60804.0
1900.0,4.0,2.0,69.3,42906.0
1900.0,1.0,1.0,1581.5,60804.0
1900.0,1.0,1.0,1581.5,60804.0
1900.0,1.0,1.0,1581.5,60804.0
1900.0,2.0,2.0,77.5,52284.0
1900.0,1.0,1.0,1581.5,60804.0
1900.0,1.0,1.0,1581.5,60804.0
1900.0,3.0,1.0,94.3,53018.0
1900.0,2.0,1.0,76.0,49272.0
1900.0,3.0,1.0,1581.5,60804.0
1900.0,2.0,1.0,146.2,55861.0
1900.0,4.0,2.0,94.3,53018.0
1902.0,2.0,1.0,1581.5,60804.0
1910.0,2.0,2.0,1581.5,60804.0
1915.0,3.0,2.0,1581.5,60804.0
1928.0,2.0,2.0,1581.5,60804.0
1930.0,2.0,2.0,1581.5,60804.0
1935.0,2.0,1.0,1581.5,60804.0
1950.0,3.0,2.0,50.4,40024.0
1950.0,3.0,2.0,45.1,48765.0
1950.0,3.0,1.0,94.3,53018.0
1950.0,3.0,1.0,94.3,53018.0
1950.0,2.0,2.0,68.6,46308.0
1950.0,1.0,1.0,1581.5,60804.0
1950.0,3.0,1.0,77.5,52284.0
1950.0,1.0,1.0,1581.5,60804.0
1950.0,3.0,1.0,45.1,48765.0
1950.0,4.0,3.0,169.1,45905.0
1950.0,4.0,2.0,45.1,48765.0
1950.0,1.0,1.0,1581.5,60804.0
1950.0,2.0,2.0,146.2,55861.0
1950.0,3.0,2.0,94.3,53018.0
1950.0,1.0,1.0,1581.5,60804.0
1950.0,1.0,1.0,1581.5,60804.0
1950.0,1.0,1.0,1581.5,60804.0
1950.0,2.0,2.0,77.5,52284.0
1950.0,2.0,1.0,77.5,52284.0
1955.25,1.0,1.0,1581.5,60804.0
1974.0,1.0,1.0,1581.5,60804.0
1975.0,4.0,4.0,69.3,42906.0
1975.0,2.0,1.0,1581.5,60804.0
1975.0,1.0,1.0,76.0,49272.0
1975.0,3.0,1.0,146.2,55861.0
1975.0,1.0,1.0,1581.5,60804.0
1975.0,3.0,3.0,1581.5,60804.0
1976.0,2.0,1.0,1581.5,60804.0
1982.0,2.0,2.0,1581.5,60804.0
1985.0,1.0,1.0,1581.5,60804.0
1990.0,1.0,1.0,1581.5,60804.0
1995.0,1.0,1.0,1581.5,60804.0
1999.0,3.0,2.0,169.1,45905.0
2000.0,3.0,2.0,38.2,45599.0
2000.0,4.0,2.0,94.3,53018.0
2000.0,2.0,1.0,1581.5,60804.0
2000.0,3.0,2.0,76.0,49272.0
2000.0,3.0,1.0,37.1,48576.0
2000.0,3.0,2.0,45.1,48765.0
2000.0,2.0,2.0,45.1,48765.0
2000.0,3.0,2.0,45.1,48765.0
2000.0,2.0,2.0,146.2,55861.0
2000.0,4.0,2.0,77.5,52284.0
2000.0,2.0,1.0,146.2,55861.0
2000.0,5.0,1.0,77.5,52284.0
2000.0,4.0,1.0,53.4,46563.0
2000.0,3.0,2.0,69.1,44000.0
2000.0,3.0,1.0,94.3,53018.0
2000.0,4.0,3.0,45.1,48765.0
2000.0,3.0,3.0,146.2,55861.0
2000.0,3.0,1.0,37.1,48576.0
2000.0,3.0,2.0,45.1,48765.0
2000.0,2.0,1.0,53.4,46563.0
2000.0,3.0,2.0,77.5,52284.0
1998.7,3.0,2.0,76.0,49272.0
2000.0,2.0,1.0,146.2,55861.0
2000.0,3.0,2.0,68.6,46308.0
2000.0,1.0,1.0,1581.5,60804.0
2000.0,1.0,1.0,1581.5,60804.0
2000.0,4.0,1.0,37.1,48576.0
2000.0,3.0,2.0,77.5,52284.0
2000.0,1.0,2.0,76.0,49272.0
2000.0,3.0,2.0,94.3,53018.0
2000.0,2.0,2.0,76.9,55361.0
2000.0,2.0,1.0,76.9,55361.0
2000.0,2.0,1.0,169.1,45905.0
2000.0,2.0,2.0,1581.5,60804.0
2000.0,2.0,1.0,146.2,55861.0
2000.0,1.0,2.0,1581.5,60804.0
2000.0,1.0,1.0,1581.5,60804.0
2000.0,3.0,3.0,146.2,55861.0
2000.0,1.0,1.0,1581.5,60804.0
2000.0,4.0,3.0,32.5,42674.0
2000.0,3.0,3.0,76.0,49272.0
2000.0,4.0,2.0,76.0,49272.0
2000.0,1.0,1.0,1581.5,60804.0
2000.0,5.0,2.0,169.1,45905.0
2000.0,3.0,1.0,68.6,46308.0
2000.0,1.0,1.0,1581.5,60804.0
2000.0,4.0,4.0,94.3,53018.0
2000.0,3.0,1.0,68.6,46308.0
2000.0,3.0,3.0,77.5,52284.0
2000.0,1.0,1.0,76.9,55361.0
2000.0,2.0,2.0,37.1,48576.0
2000.0,2.0,2.0,1581.5,60804.0
2000.0,2.0,2.0,1581.5,60804.0
2000.0,3.0,1.0,146.2,55861.0
2000.0,1.0,1.0,1581.5,60804.0
2000.0,3.0,1.0,68.6,46308.0
2000.0,3.0,3.0,77.5,52284.0
2000.0,2.0,2.0,37.1,48576.0
2000.0,1.0,1.0,1581.5,60804.0
2000.0,2.0,2.0,146.2,55861.0
2000.0,3.0,3.0,77.5,52284.0
2000.0,5.0,3.0,45.1,48765.0
2000.0,2.0,2.0,77.5,52284.0
2000.0,1.0,1.0,1581.5,60804.0
2000.0,3.0,1.0,45.1,48765.0
2000.0,2.0,2.0,45.1,48765.0
2000.0,3.0,1.0,45.1,48765.0
2000.0,3.0,1.0,45.1,48765.0
2000.0,2.0,1.0,76.9,55361.0
2000.0,4.0,2.0,169.1,45905.0
2000.0,2.0,2.0,146.2,55861.0
2000.0,3.0,3.0,77.5,52284.0
2000.0,4.0,2.0,45.1,48765.0
2000.0,1.0,1.0,1581.5,60804.0
2000.0,5.0,4.0,27.6,44833.0
2000.0,2.0,1.0,1581.5,60804.0
2000.0,2.0,2.0,1581.5,60804.0
2000.0,2.0,2.0,146.2,55861.0
2000.0,2.0,1.0,1581.5,60804.0
2000.0,1.0,1.0,1581.5,60804.0
2000.0,2.0,2.0,169.1,45905.0
2000.0,3.0,1.0,77.5,52284.0
2003.0,1.0,1.0,1581.5,60804.0
2006.0,2.0,1.0,1581.5,60804.0
2010.0,2.0,1.0,1581.5,60804.0
2010.0,2.0,2.0,1581.5,60804.0
2019.0,1.0,1.0,1581.5,60804.0
2028.0,2.0,1.0,76.9,55361.0
2030.0,2.0,2.0,1581.5,60804.0
2033.0,2.0,1.0,1581.5,60804.0
2039.0,2.0,2.0,1581.5,60804.0
2045.0,4.0,2.0,76.9,55361.0
2050.0,1.0,1.0,1581.5,60804.0
2050.0,1.0,2.0,1581.5,60804.0
2050.0,1.0,1.0,1581.5,60804.0
2050.0,2.0,1.0,1581.5,60804.0
2055.0,1.0,1.0,1581.5,60804.0
2062.0,3.0,2.0,1581.5,60804.0
2063.0,1.0,1.0,1581.5,60804.0
2067.0,1.0,1.0,1581.5,60804.0
2076.0,1.0,1.0,1581.5,60804.0
2078.0,1.0,1.0,1581.5,60804.0
2080.0,4.0,3.0,1581.5,60804.0
2080.0,3.0,2.0,146.2,55861.0
2085.0,2.0,1.0,1581.5,60804.0
2090.0,1.0,1.0,1581.5,60804.0
2093.0,1.0,1.0,1581.5,60804.0
2094.0,4.0,3.0,69.3,42906.0
2095.0,1.0,1.0,1581.5,60804.0
2100.0,1.0,1.0,1581.5,60804.0
2100.0,4.0,4.0,27.6,44833.0
2100.0,2.0,2.0,1581.5,60804.0
2100.0,2.0,1.0,1581.5,60804.0
2100.0,1.0,1.0,1581.5,60804.0
2100.0,3.0,1.0,77.5,52284.0
2100.0,2.0,2.0,1581.5,60804.0
2100.0,2.0,2.0,1581.5,60804.0
2100.0,1.0,1.0,1581.5,60804.0
2100.0,2.0,2.0,1581.5,60804.0
2100.0,2.0,1.0,1581.5,60804.0
2100.0,1.0,1.0,45.1,48765.0
2100.0,2.0,1.0,1581.5,60804.0
2100.0,2.0,1.0,1581.5,60804.0
2100.0,3.0,2.0,169.1,45905.0
2100.0,1.0,1.0,1581.5,60804.0
2100.0,2.0,2.0,77.5,52284.0
2100.0,3.0,1.0,94.3,53018.0
2100.0,1.0,1.0,1581.5,60804.0
2100.0,2.0,2.0,1581.5,60804.0
2110.0,2.0,2.0,1581.5,60804.0
2112.0,2.0,1.0,1581.5,60804.0
2125.0,1.0,1.0,1581.5,60804.0
2133.0,4.0,3.0,146.2,55861.0
2140.0,2.0,2.0,1581.5,60804.0
2142.0,3.0,2.0,76.9,55361.0
2142.0,2.0,2.0,1581.5,60804.0
2144.0,1.0,2.0,1581.5,60804.0
2144.0,3.0,1.0,1581.5,60804.0
2145.0,2.0,1.0,1581.5,60804.0
2150.0,3.0,1.0,94.3,53018.0
2150.0,2.0,2.0,76.0,49272.0
2150.0,1.0,1.0,1581.5,60804.0
2150.0,1.0,1.0,1581.5,60804.0
2150.0,1.0,1.0,1581.5,60804.0
2150.0,1.0,2.0,77.5,52284.0
2150.0,2.0,1.0,76.9,55361.0
2156.0,2.0,2.0,77.5,52284.0
2165.0,2.0,1.0,1581.5,60804.0
2166.0,1.0,1.0,1581.5,60804.0
2167.0,2.0,2.0,1581.5,60804.0
2167.0,2.0,1.0,1581.5,60804.0
2170.0,2.0,1.0,1581.5,60804.0
2173.0,3.0,2.0,1581.5,60804.0
2175.0,2.0,1.0,1581.5,60804.0
2180.0,4.0,3.0,146.2,55861.0
2195.0,5.0,4.0,77.5,52284.0
2200.0,2.0,2.0,45.1,48765.0
2200.0,3.0,2.0,45.1,48765.0
2200.0,4.0,3.0,68.6,46308.0
2200.0,2.0,1.0,1581.5,60804.0
2200.0,2.0,2.0,45.1,48765.0
2200.0,4.0,1.0,146.2,55861.0
2200.0,3.0,1.0,146.2,55861.0
2200.0,4.0,2.0,50.2,46510.0
2200.0,2.0,1.0,1581.5,60804.0
2200.0,4.0,4.0,77.5,52284.0
2200.0,4.0,2.0,77.5,52284.0
2200.0,2.0,1.0,1581.5,60804.0
2200.0,2.0,1.0,1581.5,60804.0
2200.0,1.0,1.0,1581.5,60804.0
2200.0,1.0,1.0,1581.5,60804.0
2200.0,2.0,2.0,1581.5,60804.0
2200.0,1.0,1.0,1581.5,60804.0
2200.0,1.0,1.0,1581.5,60804.0
2200.0,3.0,2.0,146.2,55861.0
2200.0,4.0,3.0,45.1,48765.0
2200.0,3.0,2.0,146.2,55861.0
2200.0,4.0,3.0,45.1,48765.0
2200.0,3.0,2.0,76.0,49272.0
2200.0,3.0,1.0,76.0,49272.0
2200.0,2.0,2.0,77.5,52284.0
2200.0,2.0,1.0,1581.5,60804.0
2200.0,2.0,1.0,1581.5,60804.0
2200.0,2.0,1.0,1581.5,60804.0
2200.0,3.0,2.0,94.3,53018.0
2200.0,2.0,3.0,146.2,55861.0
2200.0,3.0,3.0,169.1,45905.0
2200.0,2.0,3.0,94.3,53018.0
2200.0,1.0,1.0,1581.5,60804.0
2200.0,2.0,2.0,1581.5,60804.0
2200.0,1.0,1.0,1581.5,60804.0
2200.0,2.0,2.0,94.3,53018.0
2200.0,3.0,3.0,41.6,44108.0
2200.0,2.0,3.0,77.5,52284.0
2200.0,2.0,2.0,1581.5,60804.0
2200.0,2.0,2.0,1581.5,60804.0
2200.0,3.0,3.0,41.6,44108.0
2200.0,3.0,1.0,1581.5,60804.0
2200.0,2.0,1.0,1581.5,60804.0
2200.0,2.0,2.0,1581.5,60804.0
2200.0,2.0,2.0,1581.5,60804.0
2200.0,2.0,1.0,1581.5,60804.0
2200.0,5.0,3.0,169.1,45905.0
2200.0,4.0,2.0,52.3,46782.0
2205.0,1.0,1.0,1581.5,60804.0
2213.0,1.0,2.0,1581.5,60804.0
2213.0,4.0,2.0,1581.5,60804.0
2224.0,2.0,2.0,1581.5,60804.0
2229.0,4.0,5.0,45.1,48765.0
2230.0,1.0,1.0,1581.5,60804.0
2230.0,2.0,1.0,1581.5,60804.0
2231.0,2.0,1.0,1581.5,60804.0
2235.0,2.0,1.0,45.1,48765.0
2237.0,2.0,1.0,146.2,55861.0
2244.0,2.0,1.0,1581.5,60804.0
2374.0,2.0,2.0,1581.5,60804.0
2250.0,4.0,1.0,76.9,55361.0
2250.0,3.0,3.0,94.3,53018.0
2250.0,1.0,1.0,1581.5,60804.0
2250.0,2.0,1.0,1581.5,60804.0
2250.0,1.0,1.0,1581.5,60804.0
2250.0,2.0,1.0,1581.5,60804.0
2250.0,2.0,2.0,1581.5,60804.0
2250.0,2.0,2.0,1581.5,60804.0
2250.0,1.0,1.0,1581.5,60804.0
2250.0,2.0,2.0,1581.5,60804.0
2250.0,2.0,1.0,76.0,49272.0
2250.0,2.0,1.0,1581.5,60804.0
2250.0,3.0,1.0,76.0,49272.0
2250.0,3.0,3.0,76.0,49272.0
2250.0,1.0,1.0,1581.5,60804.0
2250.0,2.0,2.0,1581.5,60804.0
2250.0,2.0,1.0,1581.5,60804.0
2250.0,1.0,1.0,76.0,49272.0
2250.0,1.0,1.0,1581.5,60804.0
2250.0,3.0,3.0,76.0,49272.0
2250.0,1.0,2.0,1581.5,60804.0
2250.0,2.0,2.0,1581.5,60804.0
2253.0,1.0,1.0,1581.5,60804.0
2260.0,2.0,2.0,1581.5,60804.0
2260.0,3.0,2.0,1581.5,60804.0
2263.0,2.0,2.0,1581.5,60804.0
2273.0,1.0,1.0,1581.5,60804.0
2275.0,4.0,3.0,52.3,46782.0
2280.0,3.0,2.0,1581.5,60804.0
2281.125,2.0,2.0,45.1,48765.0
2290.0,1.0,1.0,1581.5,60804.0
2295.0,1.0,1.0,1581.5,60804.0
2295.0,2.0,2.0,1581.5,60804.0
2295.0,2.0,1.0,1581.5,60804.0
2300.0,4.0,2.0,68.6,46308.0
2300.0,2.0,1.0,77.5,52284.0
2300.0,1.0,2.0,76.0,49272.0
2300.0,3.0,1.0,169.1,45905.0
2300.0,3.0,3.0,76.9,55361.0
2300.0,2.0,1.0,1581.5,60804.0
2300.0,4.0,3.0,68.6,46308.0
2300.0,2.0,1.0,1581.5,60804.0
2300.0,4.0,1.0,76.0,49272.0
2300.0,1.0,1.0,1581.5,60804.0
2300.0,1.0,1.0,1581.5,60804.0
2300.0,2.0,2.0,45.1,48765.0
2300.0,2.0,1.0,1581.5,60804.0
2300.0,2.0,1.0,1581.5,60804.0
2300.0,4.0,2.0,68.6,46308.0
2300.0,3.0,3.0,146.2,55861.0
2300.0,2.0,1.0,1581.5,60804.0
2300.0,3.0,2.0,42.9,41418.0
2300.0,3.0,3.0,37.1,48576.0
2300.0,2.0,1.0,1581.5,60804.0
2300.0,4.0,2.0,68.6,46308.0
2300.0,1.0,1.0,1581.5,60804.0
2300.0,3.0,1.0,146.2,55861.0
2300.0,3.0,1.0,94.3,53018.0
2300.0,2.0,2.0,77.5,52284.0
2300.0,2.0,1.0,1581.5,60804.0
2300.0,3.0,3.0,76.0,49272.0
2300.0,3.0,1.0,76.0,49272.0
2300.0,4.0,3.0,77.5,52284.0
2300.0,2.0,2.0,1581.5,60804.0
2300.0,2.0,2.0,1581.5,60804.0
2300.0,2.0,2.0,1581.5,60804.0
2300.0,4.0,3.0,77.5,52284.0
2300.0,2.0,2.0,1581.5,60804.0
2300.0,2.0,1.0,1581.5,60804.0
2300.0,3.0,1.0,1581.5,60804.0
2300.0,2.0,1.0,1581.5,60804.0
2300.0,3.0,1.0,1581.5,60804.0
2316.0,2.0,2.0,1581.5,60804.0
2320.0,2.0,2.0,1581.5,60804.0
2321.0,3.0,2.0,1581.5,60804.0
2330.0,2.0,1.0,1581.5,60804.0
2339.0,1.0,1.0,1581.5,60804.0
2345.0,3.0,3.0,1581.5,60804.0
2347.0,2.0,2.0,1581.5,60804.0
2350.0,2.0,2.0,1581.5,60804.0
2350.0,2.0,1.0,1581.5,60804.0
2350.0,2.0,1.0,1581.5,60804.0
2350.0,1.0,1.0,1581.5,60804.0
2350.0,2.0,2.0,1581.5,60804.0
2350.0,2.0,1.0,1581.5,60804.0
2350.0,2.0,1.0,77.5,52284.0
2350.0,2.0,1.0,1581.5,60804.0
2350.0,2.0,1.0,1581.5,60804.0
2350.0,1.0,1.0,1581.5,60804.0
2350.0,3.0,3.0,169.1,45905.0
2350.0,2.0,1.0,1581.5,60804.0
2350.0,2.0,1.0,1581.5,60804.0
2365.0,3.0,2.0,77.5,52284.0
2369.0,3.0,1.0,94.3,53018.0
2375.0,3.0,3.0,1581.5,60804.0
2376.0,2.0,2.0,1581.5,60804.0
2381.0,2.0,1.0,1581.5,60804.0
2390.0,3.0,2.0,1581.5,60804.0
2393.0,3.0,1.0,1581.5,60804.0
2394.0,2.0,1.0,1581.5,60804.0
2395.0,2.0,1.0,1581.5,60804.0
2395.0,2.0,2.0,1581.5,60804.0
2395.0,2.0,2.0,1581.5,60804.0
2395.0,2.0,1.0,1581.5,60804.0
2396.0,2.0,2.0,146.2,55861.0
2400.0,4.0,2.0,76.0,49272.0
2400.0,2.0,2.0,146.2,55861.0
2400.0,3.0,2.0,94.3,53018.0
2400.0,3.0,1.0,146.2,55861.0
2400.0,4.0,3.0,39.0,44678.0
2400.0,5.0,4.0,42.3,43183.0
2400.0,2.0,2.0,1581.5,60804.0
2400.0,2.0,2.0,77.5,52284.0
2400.0,3.0,1.0,77.5,52284.0
2400.0,3.0,3.0,169.1,45905.0
2400.0,2.0,2.0,1581.5,60804.0
2400.0,3.0,4.0,77.5,52284.0
2400.0,3.0,2.0,77.5,52284.0
2400.0,3.0,1.0,1581.5,60804.0
2400.0,4.0,4.0,45.1,48765.0
2400.0,3.0,1.0,77.5,52284.0
2400.0,1.0,1.0,1581.5,60804.0
2400.0,4.0,2.0,76.0,49272.0
2400.0,1.0,1.0,1581.5,60804.0
2400.0,2.0,1.0,1581.5,60804.0
2400.0,2.0,1.0,1581.5,60804.0
2400.0,2.0,2.0,76.0,49272.0
2400.0,3.0,2.0,1581.5,60804.0
2400.0,2.0,1.0,1581.5,60804.0
2400.0,3.0,1.0,1581.5,60804.0
2400.0,2.0,2.0,1581.5,60804.0
2400.0,3.0,2.0,76.9,55361.0
2400.0,1.0,1.0,1581.5,60804.0
2400.0,2.0,2.0,1581.5,60804.0
2400.0,2.0,1.0,1581.5,60804.0
2400.0,3.0,1.0,1581.5,60804.0
2400.0,2.0,1.0,1581.5,60804.0
2400.0,2.0,1.0,1581.5,60804.0
2400.0,2.0,2.0,1581.5,60804.0
2400.0,1.0,1.0,1581.5,60804.0
2400.0,2.0,2.0,1581.5,60804.0
2400.0,3.0,1.0,1581.5,60804.0
2413.0,2.0,2.0,1581.5,60804.0
2417.0,2.0,2.0,1581.5,60804.0
2424.0,2.0,2.0,1581.5,60804.0
2425.0,2.0,2.0,1581.5,60804.0
2426.0,2.0,2.0,1581.5,60804.0
2448.0,4.0,3.0,146.2,55861.0
2450.0,3.0,2.0,76.9,55361.0
2450.0,1.0,1.0,1581.5,60804.0
2450.0,2.0,2.0,1581.5,60804.0
2450.0,2.0,1.0,1581.5,60804.0
2450.0,2.0,2.0,1581.5,60804.0
2450.0,2.0,1.0,1581.5,60804.0
2450.0,4.0,3.0,45.1,48765.0
2450.0,1.0,1.0,1581.5,60804.0
2450.0,2.0,2.0,1581.5,60804.0
2460.0,3.0,1.0,1581.5,60804.0
2461.0,2.0,2.0,1581.5,60804.0
2462.0,4.0,2.0,77.5,52284.0
2462.0,2.0,1.0,1581.5,60804.0
2465.0,2.0,1.0,1581.5,60804.0
2475.0,2.0,1.0,1581.5,60804.0
2475.0,2.0,1.0,1581.5,60804.0
2475.0,1.0,1.0,1581.5,60804.0
2495.0,2.0,2.0,1581.5,60804.0
2495.0,3.0,4.0,37.1,48576.0
2495.0,2.0,2.0,1581.5,60804.0
2495.0,2.0,2.0,1581.5,60804.0
2499.0,2.0,1.0,1581.5,60804.0
2500.0,1.0,1.0,1581.5,60804.0
2500.0,3.0,1.0,76.9,55361.0
2500.0,4.0,3.0,53.4,46563.0
2500.0,3.0,1.0,146.2,55861.0
2500.0,3.0,1.0,52.3,46782.0
2500.0,3.0,1.0,76.0,49272.0
2500.0,5.0,5.0,32.5,42674.0
2500.0,3.0,1.0,1581.5,60804.0
2500.0,2.0,1.0,1581.5,60804.0
2500.0,4.0,3.0,52.3,46782.0
2500.0,6.0,5.0,53.4,46563.0
2500.0,2.0,1.0,1581.5,60804.0
2500.0,4.0,4.0,24.7,43480.0
2500.0,2.0,2.0,1581.5,60804.0
2500.0,2.0,1.0,1581.5,60804.0
2500.0,3.0,3.0,76.0,49272.0
2500.0,2.0,1.0,1581.5,60804.0
2500.0,4.0,4.0,24.7,43480.0
2500.0,2.0,1.0,1581.5,60804.0
2500.0,2.0,2.0,1581.5,60804.0
2500.0,2.0,3.0,146.2,55861.0
2500.0,2.0,2.0,1581.5,60804.0
2500.0,2.0,2.0,1581.5,60804.0
2500.0,3.0,1.0,1581.5,60804.0
2500.0,2.0,2.0,1581.5,60804.0
2500.0,4.0,6.0,52.3,46782.0
2500.0,4.0,5.0,42.3,43183.0
2500.0,3.0,3.0,77.5,52284.0
2500.0,3.0,2.0,94.3,53018.0
2500.0,3.0,3.0,77.5,52284.0
2500.0,4.0,4.0,42.3,43183.0
2500.0,2.0,1.0,1581.5,60804.0
2500.0,2.0,1.0,1581.5,60804.0
2500.0,2.0,1.0,1581.5,60804.0
2500.0,2.0,1.0,1581.5,60804.0
2500.0,3.0,3.0,77.5,52284.0
2500.0,3.0,1.0,1581.5,60804.0
2500.0,2.0,2.0,1581.5,60804.0
2500.0,1.0,1.0,1581.5,60804.0
2500.0,2.0,2.0,45.1,48765.0
2500.0,2.0,2.0,1581.5,60804.0
2500.0,4.0,3.0,39.0,44678.0
2500.0,4.0,3.0,45.1,48765.0
2500.0,3.0,2.0,45.1,48765.0
2500.0,4.0,1.0,45.1,48765.0
2500.0,2.0,1.0,76.0,49272.0
2500.0,2.0,2.0,1581.5,60804.0
2500.0,3.0,2.0,1581.5,60804.0
2500.0,3.0,1.0,1581.5,60804.0
2500.0,4.0,3.0,50.2,46510.0
2500.0,2.0,1.0,1581.5,60804.0
2500.0,2.0,1.0,76.9,55361.0
2500.0,2.0,1.0,146.2,55861.0
2500.0,4.0,2.0,76.0,49272.0
2500.0,4.0,2.0,76.0,49272.0
2500.0,5.0,2.0,68.6,46308.0
2500.0,2.0,2.0,1581.5,60804.0
2500.0,4.0,3.0,39.0,44678.0
2500.0,2.0,1.0,1581.5,60804.0
2500.0,2.0,2.0,1581.5,60804.0
2500.0,2.0,2.0,1581.5,60804.0
2500.0,2.0,1.0,1581.5,60804.0
2500.0,4.0,4.0,77.5,52284.0
2500.0,2.0,2.0,1581.5,60804.0
2500.0,2.0,2.0,1581.5,60804.0
2500.0,2.0,2.0,1581.5,60804.0
2500.0,2.0,2.0,1581.5,60804.0
2500.0,2.0,1.0,1581.5,60804.0
2500.0,2.0,1.0,1581.5,60804.0
2500.0,3.0,3.0,146.2,55861.0
2500.0,3.0,2.0,1581.5,60804.0
2500.0,3.0,3.0,1581.5,60804.0
2500.0,2.0,2.0,1581.5,60804.0
2500.0,3.0,2.0,1581.5,60804.0
2500.0,2.0,1.0,77.5,52284.0
2503.0,2.0,1.0,1581.5,60804.0
2510.0,2.0,1.0,1581.5,60804.0
2520.0,2.0,2.0,1581.5,60804.0
2525.0,2.0,2.0,1581.5,60804.0
2533.0,3.0,1.0,1581.5,60804.0
2535.0,2.0,2.0,1581.5,60804.0
2540.0,1.0,1.0,1581.5,60804.0
2548.0,2.0,1.0,1581.5,60804.0
2550.0,3.0,1.0,94.3,53018.0
2550.0,3.0,2.0,77.5,52284.0
2550.0,2.0,1.0,1581.5,60804.0
2557.0,2.0,1.0,1581.5,60804.0
2568.0,2.0,1.0,1581.5,60804.0
2580.0,2.0,1.0,1581.5,60804.0
2586.0,2.0,2.0,1581.5,60804.0
2595.0,2.0,1.0,1581.5,60804.0
2595.0,1.0,1.0,1581.5,60804.0
2595.0,2.0,1.0,1581.5,60804.0
2597.0,3.0,2.0,1581.5,60804.0
2600.0,3.0,2.0,146.2,55861.0
2600.0,3.0,3.0,146.2,55861.0
2600.0,3.0,2.0,76.0,49272.0
2600.0,4.0,3.0,146.2,55861.0
2600.0,3.0,1.0,1581.5,60804.0
2600.0,3.0,3.0,77.5,52284.0
2600.0,7.0,4.0,77.5,52284.0
2600.0,3.0,2.0,1581.5,60804.0
2600.0,2.0,3.0,1581.5,60804.0
2600.0,3.0,1.0,1581.5,60804.0
2600.0,2.0,3.0,1581.5,60804.0
2600.0,2.0,2.0,146.2,55861.0
2600.0,2.0,2.0,45.1,48765.0
2600.0,2.0,1.0,1581.5,60804.0
2600.0,2.0,1.0,1581.5,60804.0
2600.0,2.0,2.0,1581.5,60804.0
2600.0,3.0,1.0,1581.5,60804.0
2600.0,2.0,2.0,1581.5,60804.0
2600.0,4.0,3.0,76.0,49272.0
2600.0,2.0,2.0,1581.5,60804.0
2600.0,2.0,2.0,1581.5,60804.0
2600.0,2.0,1.0,1581.5,60804.0
2600.0,1.0,1.0,1581.5,60804.0
2600.0,2.0,1.0,1581.5,60804.0
2600.0,2.0,2.0,1581.5,60804.0
2600.0,2.0,1.0,1581.5,60804.0
2600.0,3.0,2.0,1581.5,60804.0
2607.0,2.0,2.0,45.1,48765.0
2607.0,4.0,1.0,69.3,42906.0
2607.0,1.0,1.0,1581.5,60804.0
2608.0,3.0,3.0,77.5,52284.0
2608.0,4.0,3.0,76.9,55361.0
2611.0,3.0,2.0,1581.5,60804.0
2613.0,3.0,3.0,146.2,55861.0
2613.0,2.0,2.0,1581.5,60804.0
2618.0,4.0,2.0,77.5,52284.0
2630.0,3.0,3.0,77.5,52284.0
2631.0,4.0,2.0,1581.5,60804.0
2633.0,2.0,2.0,1581.5,60804.0
2650.0,2.0,2.0,1581.5,60804.0
2650.0,4.0,2.0,94.3,53018.0
2650.0,3.0,3.0,169.1,45905.0
2650.0,2.0,2.0,1581.5,60804.0
2650.0,3.0,1.0,1581.5,60804.0
2650.0,2.0,2.0,76.9,55361.0
2653.0,2.0,2.0,1581.5,60804.0
2655.0,2.0,1.0,1581.5,60804.0
2680.0,3.0,3.0,146.2,55861.0
2690.0,1.0,1.0,1581.5,60804.0
2695.0,2.0,1.0,1581.5,60804.0
2699.0,3.0,1.0,1581.5,60804.0
2700.0,3.0,3.0,76.0,49272.0
2700.0,4.0,3.0,146.2,55861.0
2700.0,2.0,1.0,1581.5,60804.0
2700.0,3.0,2.0,1581.5,60804.0
2700.0,3.0,3.0,1581.5,60804.0
2700.0,2.0,1.0,1581.5,60804.0
2700.0,2.0,1.0,1581.5,60804.0
2700.0,3.0,2.0,1581.5,60804.0
2700.0,4.0,3.0,76.9,55361.0
2700.0,3.0,1.0,1581.5,60804.0
2700.0,4.0,2.0,45.1,48765.0
2700.0,3.0,3.0,76.0,49272.0
2700.0,3.0,3.0,1581.5,60804.0
2700.0,3.0,2.0,1581.5,60804.0
2700.0,2.0,2.0,1581.5,60804.0
2700.0,2.0,1.0,1581.5,60804.0
2700.0,3.0,1.0,1581.5,60804.0
2700.0,5.0,3.0,50.2,46510.0
2704.0,3.0,3.0,1581.5,60804.0
2707.0,2.0,3.0,1581.5,60804.0
2710.0,2.0,1.0,1581.5,60804.0
2750.0,4.0,2.0,77.5,52284.0
2750.0,4.0,3.0,76.9,55361.0
